Time: 19 Pose: [-0.011626480147242546, -0.04827846959233284, 0.17860916256904602]
Time: 17 Pose: [-0.18261350691318512, -0.038075756281614304, 0.15688370168209076]
Time: 15 Pose: [-0.12358137220144272, 0.04975137859582901, 0.16974791884422302]
Time: 16 Pose: [-0.09873519092798233, 0.0014557839604094625, 0.15892237424850464]
Time: 23 Pose: [-0.02359398640692234, -0.028554212301969528, 0.18553262948989868]
Time: 11 Pose: [-0.018190378323197365, 0.019118178635835648, 0.49933236837387085]
Time: 25 Pose: [0.0099741630256176, -0.09406129270792007, 0.1776326298713684]
Time: 12 Pose: [-0.06408928334712982, 0.025672899559140205, 0.1737220585346222]
Time: 13 Pose: [-0.07106636464595795, -0.030886702239513397, 0.18761128187179565]
Time: 34 Pose: [-0.13025055825710297, 0.029146291315555573, 0.17190024256706238]
Time: 14 Pose: [-0.12911514937877655, -0.017205366864800453, 0.17800745368003845]
Time: 22 Pose: [-0.02391188219189644, 0.14294587075710297, 0.17029428482055664]
Time: 17 Pose: [-0.12445224076509476, 0.026194341480731964, 0.14599552750587463]
Time: 21 Pose: [-0.20606952905654907, -0.004430617671459913, 0.17078959941864014]
Time: 18 Pose: [-0.21498225629329681, 0.03549955412745476, 0.16447898745536804]
Time: 40 Pose: [0.10993213206529617, 0.1652374267578125, 0.18137329816818237]
Time: 26 Pose: [-0.14207389950752258, -0.14136448502540588, 0.16697362065315247]
Time: 35 Pose: [-0.2499409019947052, -0.12886586785316467, 0.18368348479270935]
Time: 14 Pose: [-0.11684822291135788, 0.004025156609714031, 0.18294832110404968]
Time: 15 Pose: [-0.1578928530216217, -0.0256193857640028, 0.15848112106323242]
Time: 20 Pose: [-0.08071073889732361, 0.043887585401535034, 0.1682150810956955]
Time: 14 Pose: [-0.10735919326543808, 0.04139998182654381, 0.17805664241313934]
Time: 17 Pose: [-0.15935543179512024, -0.013947853818535805, 0.1846240758895874]
Time: 17 Pose: [-0.1043446883559227, 0.08986794203519821, 0.15429843962192535]
Time: 36 Pose: [-0.11129578202962875, 0.0031174696050584316, 0.18235328793525696]
Time: 26 Pose: [-0.19924521446228027, -0.11857288330793381, 0.18925084173679352]
Time: 16 Pose: [-0.11031485348939896, 0.025089718401432037, 0.14684142172336578]
Time: 15 Pose: [-0.13109202682971954, -0.011812511831521988, 0.18060198426246643]
Time: 13 Pose: [-0.09076481312513351, 0.005075669381767511, 0.1768573671579361]
Time: 33 Pose: [-0.007622756063938141, 0.18962159752845764, 0.16206857562065125]
Time: 17 Pose: [-0.1873076856136322, 0.02181899920105934, 0.20545126497745514]
Time: 12 Pose: [0.0006054785917513072, 0.024618342518806458, 0.4900377094745636]
Time: 17 Pose: [-0.055024243891239166, -0.016125502064824104, 0.17057080566883087]
Time: 28 Pose: [-0.2575528025627136, -0.023517999798059464, 0.1864999532699585]
Time: 16 Pose: [0.10056398063898087, -0.06250917166471481, 0.4952731728553772]
Time: 15 Pose: [-0.11297307908535004, 0.008076897822320461, 0.15547220408916473]
Time: 13 Pose: [-0.09491831064224243, -0.044804349541664124, 0.15026457607746124]
Time: 34 Pose: [0.18952789902687073, -0.08328570425510406, 0.2046913206577301]
Time: 19 Pose: [-0.11286688596010208, -0.07259872555732727, 0.17075885832309723]
Time: 20 Pose: [-0.08268330991268158, -0.03236358240246773, 0.155739888548851]
Time: 44 Pose: [-0.1426619291305542, -0.1367800384759903, 0.20870937407016754]
Time: 15 Pose: [-0.14840756356716156, 0.006027566269040108, 0.17592769861221313]
Time: 15 Pose: [-0.16193439066410065, 0.014537103474140167, 0.16838966310024261]
Time: 21 Pose: [-0.030678998678922653, -0.048234712332487106, 0.14456847310066223]
Time: 17 Pose: [0.11389750242233276, 0.02140275202691555, 0.2006261646747589]
Time: 15 Pose: [-0.13364221155643463, 0.03087639808654785, 0.16015759110450745]
Time: 14 Pose: [-0.002022616332396865, -0.03504490107297897, 0.1877821981906891]
Time: 27 Pose: [-0.14443624019622803, -0.2293591946363449, 0.1771617829799652]
Time: 25 Pose: [-0.25098150968551636, 0.059112925082445145, 0.1716604083776474]
Time: 18 Pose: [-0.14654508233070374, 0.025889208540320396, 0.16224876046180725]
Time: 16 Pose: [-0.11773587018251419, 0.040156230330467224, 0.14477261900901794]
Time: 15 Pose: [-0.140901118516922, -0.07155437767505646, 0.1801864057779312]
Time: 34 Pose: [-0.26965683698654175, 0.013078205287456512, 0.18787361681461334]
Time: 22 Pose: [-0.14536572992801666, 0.04604470729827881, 0.16011790931224823]
Time: 18 Pose: [-0.07438551634550095, -0.00017568678595125675, 0.17314958572387695]
Time: 15 Pose: [-0.09940885007381439, -0.009042833000421524, 0.18441914021968842]
Time: 18 Pose: [-0.13988912105560303, -0.00869467481970787, 0.18865574896335602]
Time: 21 Pose: [-0.06145863980054855, 0.14146555960178375, 0.19874250888824463]
Time: 25 Pose: [-0.22867970168590546, 0.01949215494096279, 0.16591893136501312]
Time: 20 Pose: [0.054490890353918076, 0.0850772112607956, 0.15385743975639343]
Time: 19 Pose: [-0.16528168320655823, -0.04168775677680969, 0.16669422388076782]
Time: 33 Pose: [0.30228546261787415, -0.13257382810115814, 0.17763371765613556]
Time: 18 Pose: [-0.1088334172964096, 0.03263912722468376, 0.16454938054084778]
Time: 49 Pose: [-0.09747931361198425, -0.3580392003059387, 0.5441324710845947]
Time: 23 Pose: [-0.0884225144982338, -0.07769685983657837, 0.17211763560771942]
Time: 15 Pose: [-0.12470147013664246, 0.03256721422076225, 0.17595413327217102]
Time: 13 Pose: [-0.10744442790746689, -0.007633044384419918, 0.16785727441310883]
Time: 23 Pose: [-0.2516857981681824, 0.08871054649353027, 0.1478525847196579]
Time: 19 Pose: [-0.027812406420707703, 0.06476043164730072, 0.16578692197799683]
Time: 18 Pose: [-0.1881796419620514, -0.07009416818618774, 0.18939301371574402]
Time: 21 Pose: [-0.1340169459581375, 0.0311230830848217, 0.18160073459148407]
Time: 19 Pose: [-0.02553069405257702, -0.10429157316684723, 0.1567244827747345]
Time: 42 Pose: [0.08655761182308197, 0.06845095753669739, 0.13810083270072937]
Time: 26 Pose: [-0.1337640881538391, -0.0725092738866806, 0.17055660486221313]
Time: 28 Pose: [-0.13973408937454224, 0.18022941052913666, 0.1802012026309967]
Time: 17 Pose: [0.00594115536659956, -0.0051050204783678055, 0.15602250397205353]
Time: 17 Pose: [-0.07273783534765244, 0.02987993136048317, 0.17377549409866333]
Time: 15 Pose: [-0.17025350034236908, 0.0638955608010292, 0.18021541833877563]
Time: 35 Pose: [0.02885393798351288, 0.10009871423244476, 0.18529632687568665]
Time: 43 Pose: [0.3024429678916931, -0.09669308364391327, 0.16241911053657532]
Time: 16 Pose: [-0.12867288291454315, 0.004656004719436169, 0.1842990517616272]
Time: 24 Pose: [0.12501943111419678, 0.07072100043296814, 0.1688891053199768]
Time: 15 Pose: [-0.1149129569530487, 0.09346915036439896, 0.2127630114555359]
Time: 16 Pose: [-0.18560296297073364, -0.011371899396181107, 0.160975843667984]
Time: 15 Pose: [-0.053885567933321, -0.04435133561491966, 0.1786888688802719]
Time: 42 Pose: [0.1625325232744217, 0.092644602060318, 0.17288970947265625]
Time: 15 Pose: [-0.16029472649097443, -0.03894618898630142, 0.1524319052696228]
Time: 21 Pose: [-0.04506584256887436, -0.0037245075218379498, 0.16987182199954987]
Time: 16 Pose: [-0.0699954628944397, 0.016274655237793922, 0.1697104573249817]
Time: 13 Pose: [-0.09402269124984741, -0.005280688405036926, 0.18750078976154327]
Time: 27 Pose: [0.04533259943127632, -0.12848211824893951, 0.15112586319446564]
Time: 24 Pose: [-0.21797168254852295, -0.005330282263457775, 0.18649518489837646]
Time: 21 Pose: [-0.2195938229560852, 0.10056819766759872, 0.19691839814186096]
Time: 17 Pose: [-0.17615412175655365, 0.015888487920165062, 0.16603870689868927]
Time: 13 Pose: [-0.11877386271953583, 0.018823636695742607, 0.17998093366622925]
Time: 21 Pose: [-0.12435968220233917, 0.1167813241481781, 0.17858126759529114]
Time: 20 Pose: [-0.11351916193962097, 0.06936182826757431, 0.16678369045257568]
Time: 28 Pose: [-0.15613503754138947, 0.16108331084251404, 0.15934723615646362]
Time: 19 Pose: [-0.09195854514837265, 0.06881534308195114, 0.18162524700164795]
Time: 26 Pose: [0.17468085885047913, 0.032252851873636246, 0.17144647240638733]
Time: 14 Pose: [-0.12689045071601868, -0.025053711608052254, 0.18591541051864624]
Time: 18 Pose: [-0.12994767725467682, 0.03384234011173248, 0.15456922352313995]
Time: 22 Pose: [-0.0723743587732315, -0.06738270819187164, 0.18239739537239075]
Time: 14 Pose: [-0.1333240568637848, 0.0362992025911808, 0.1633225381374359]
Time: 13 Pose: [-0.08277447521686554, 0.0006846645846962929, 0.17732398211956024]
Time: 15 Pose: [-0.0831911712884903, -0.032367609441280365, 0.16103637218475342]
Time: 24 Pose: [-0.21151266992092133, 0.1449156403541565, 0.17399775981903076]
Time: 14 Pose: [-0.14557071030139923, 0.007758816238492727, 0.1843186616897583]
Time: 26 Pose: [-0.14055559039115906, 0.14677399396896362, 0.16396111249923706]
Time: 16 Pose: [-0.006981115788221359, 0.0072399829514324665, 0.1872767060995102]
Time: 30 Pose: [-0.13796696066856384, -0.08490443974733353, 0.15449699759483337]
Time: 29 Pose: [0.020302461460232735, -0.1362423300743103, 0.1896706521511078]
Time: 32 Pose: [-0.08131445199251175, -0.15803679823875427, 0.17586836218833923]
Time: 29 Pose: [-0.08605960011482239, 0.05062830448150635, 0.16857632994651794]
Time: 31 Pose: [-0.07937651872634888, -0.024485589936375618, 0.1700783520936966]
Time: 27 Pose: [-0.20260274410247803, 0.10616005212068558, 0.158632293343544]
Time: 17 Pose: [-0.1602422446012497, 0.026267172768712044, 0.17395849525928497]
Time: 14 Pose: [-0.08618293702602386, -0.029338521882891655, 0.18697936832904816]
Time: 20 Pose: [-0.18080292642116547, -0.09139170497655869, 0.1714232712984085]
Time: 12 Pose: [-0.09021375328302383, 0.001467761117964983, 0.17202579975128174]
Time: 17 Pose: [-0.03773128613829613, -0.015247024595737457, 0.16682027280330658]
