AngleReaderFrame;Pos x;Pos y;Pos z;Rot x;Rot y;Rot z;Left foot pos x;Left foot pos y;Left foot pos z;Right foot pos x;Right foot pos y;Right foot pos z;Ref LHipRoll;Ref LHipPitch;Ref LKneePitch;Ref LAnklePitch;Ref LAnkleRoll;Ref RHipRoll;Ref RHipPitch;Ref RKneePitch;Ref RAnklePitch;Ref RAnkleRoll;Contact1;Contact2;Left foot rot x;Left foot rot y;Left foot rot z;Right foot rot x;Right foot rot y;Right foot rot z;Target LHipRoll;Target LHipPitch;Target LKneePitch;Target LAnklePitch;Target LAnkleRoll;Target RHipRoll;Target RHipPitch;Target RKneePitch;Target RAnklePitch;Target RAnkleRoll
1;-0.0102824;1.83962e-07;0.374519;1.56829e-05;0.000307321;-1.05757e-05;0.0250136;0.050106;0.0159998;0.0250152;-0.0501067;0.0160013;-0.029006;-0.58237;1.04725;-0.46488;0.029006;-0.029006;-0.58237;1.04725;-0.46488;0.029006;1;1;-0.000276404;-1.64683e-05;-3.45993e-05;0.0003076;-1.42368e-05;1.43682e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.0103879;7.84797e-08;0.374409;1.75836e-05;0.000291855;-1.14613e-05;0.0250148;0.0501135;0.0160005;0.0250167;-0.0501142;0.0160022;-0.0288918;-0.575551;1.03469;-0.459143;0.0288918;-0.0288918;-0.575551;1.03469;-0.459143;0.0288918;1;1;-0.000293285;-2.32039e-05;-3.73482e-05;0.000328348;-2.08338e-05;1.53871e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.0104925;-5.40303e-08;0.374298;1.95643e-05;0.00027562;-1.26692e-05;0.0250159;0.0501211;0.0160013;0.0250179;-0.0501219;0.0160031;-0.0287776;-0.568732;1.02214;-0.453406;0.0287776;-0.0287776;-0.568732;1.02214;-0.453406;0.0287776;1;1;-0.000310651;-3.01014e-05;-4.06063e-05;0.000349746;-2.75894e-05;1.62266e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.0105962;-2.11962e-07;0.374186;2.15827e-05;0.000258537;-1.48365e-05;0.0250167;0.0501292;0.016002;0.0250191;-0.0501303;0.016004;-0.0286633;-0.561913;1.00958;-0.447669;0.0286633;-0.0286633;-0.561913;1.00958;-0.447669;0.0286633;1;1;-0.000328401;-3.71964e-05;-4.39318e-05;0.000371562;-3.45511e-05;1.51013e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.0106989;-3.96872e-07;0.374075;2.36429e-05;0.000240571;-1.78389e-05;0.0250174;0.050138;0.0160027;0.0250201;-0.0501395;0.016005;-0.0285491;-0.555094;0.997026;-0.441932;0.0285491;-0.0285491;-0.555094;0.997026;-0.441932;0.0285491;1;1;-0.000346468;-4.44832e-05;-4.71246e-05;0.000393778;-4.17144e-05;1.21786e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.0108004;-6.10438e-07;0.373963;2.57443e-05;0.000221711;-2.16419e-05;0.0250179;0.0501474;0.0160035;0.025021;-0.0501494;0.0160059;-0.0284348;-0.548275;0.984469;-0.436195;0.0284348;-0.0284348;-0.548275;0.984469;-0.436195;0.0284348;1;1;-0.000364799;-5.19362e-05;-5.02932e-05;0.000416346;-4.90542e-05;7.6482e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0109006;-8.54735e-07;0.373852;2.78828e-05;0.000201968;-2.62581e-05;0.0250183;0.0501573;0.0160042;0.0250219;-0.05016;0.0160069;-0.0283206;-0.541456;0.971913;-0.430458;0.0283206;-0.0283206;-0.541456;0.971913;-0.430458;0.0283206;1;1;-0.000383377;-5.95143e-05;-5.36011e-05;0.000439238;-5.65313e-05;1.63997e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0109996;-1.13257e-06;0.37374;3.00595e-05;0.000182092;-3.17132e-05;0.0250184;0.0501678;0.016005;0.0250226;-0.0501712;0.0160078;-0.0282909;-0.538784;0.967814;-0.429031;0.0282909;-0.0282909;-0.538784;0.967814;-0.429031;0.0282909;1;1;-0.000402254;-6.68858e-05;-5.75129e-05;0.00046251;-6.38138e-05;-5.43584e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0110972;-1.44571e-06;0.373629;3.22698e-05;0.000161854;-3.80457e-05;0.0250182;0.0501788;0.0160057;0.025023;-0.0501832;0.0160088;-0.0282612;-0.536111;0.963715;-0.427604;0.0282612;-0.0282612;-0.536111;0.963715;-0.427604;0.0282612;1;1;-0.000421404;-7.4171e-05;-6.20848e-05;0.000486151;-7.10267e-05;-1.35965e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0111936;-1.79751e-06;0.373518;3.45152e-05;0.00014106;-4.528e-05;0.0250178;0.0501903;0.0160065;0.0250234;-0.0501957;0.0160098;-0.0282314;-0.533439;0.959615;-0.426177;0.0282314;-0.0282314;-0.533439;0.959615;-0.426177;0.0282314;1;1;-0.00044081;-8.14889e-05;-6.73047e-05;0.000510113;-7.82792e-05;-2.29097e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0112885;-2.19001e-06;0.373407;3.67931e-05;0.000119566;-5.34686e-05;0.0250172;0.0502024;0.0160074;0.0250235;-0.050209;0.0160109;-0.0282017;-0.530766;0.955516;-0.42475;0.0282017;-0.0282017;-0.530766;0.955516;-0.42475;0.0282017;1;1;-0.000460442;-8.88817e-05;-7.31932e-05;0.000534379;-8.56336e-05;-3.3468e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0113819;-2.62676e-06;0.373296;3.9108e-05;9.73043e-05;-6.26461e-05;0.0250164;0.050215;0.0160082;0.0250236;-0.0502229;0.0160119;-0.028172;-0.528094;0.951417;-0.423323;0.028172;-0.028172;-0.528094;0.951417;-0.423323;0.028172;1;1;-0.000480283;-9.63644e-05;-7.97704e-05;0.000558925;-9.30936e-05;-4.53179e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0114736;-3.11033e-06;0.373185;4.14589e-05;7.42554e-05;-7.28669e-05;0.0250153;0.0502281;0.016009;0.0250235;-0.0502376;0.016013;-0.0281423;-0.525422;0.947317;-0.421896;0.0281423;-0.0281423;-0.525422;0.947317;-0.421896;0.0281423;1;1;-0.000500288;-0.0001039;-8.71026e-05;0.000583716;-0.000100634;-5.85034e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0115634;-3.64347e-06;0.373075;4.3855e-05;5.04505e-05;-8.416e-05;0.0250142;0.0502418;0.0160099;0.0250234;-0.050253;0.0160141;-0.0281126;-0.522749;0.943218;-0.420469;0.0281126;-0.0281126;-0.522749;0.943218;-0.420469;0.0281126;1;1;-0.000520439;-0.000111442;-9.52552e-05;0.000608724;-0.000108195;-7.30167e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0116512;-4.22876e-06;0.372965;4.62861e-05;2.59528e-05;-9.65853e-05;0.0250128;0.050256;0.0160107;0.0250231;-0.050269;0.0160152;-0.0280828;-0.520077;0.939119;-0.419042;0.0280828;-0.0280828;-0.520077;0.939119;-0.419042;0.0280828;1;1;-0.000540713;-0.00011891;-0.000104339;0.000633952;-0.000115716;-8.88767e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0117369;-4.86921e-06;0.372855;4.87583e-05;8.4959e-07;-0.000110201;0.0250113;0.0502706;0.0160116;0.0250228;-0.0502858;0.0160163;-0.0280531;-0.517404;0.935019;-0.417615;0.0280531;-0.0280531;-0.517404;0.935019;-0.417615;0.0280531;1;1;-0.000561076;-0.000126231;-0.000114471;0.00065936;-0.000123122;-0.00010608;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0118203;-5.56793e-06;0.372745;5.12821e-05;-2.47553e-05;-0.000125032;0.0250096;0.0502857;0.0160125;0.0250225;-0.0503031;0.0160174;-0.0280234;-0.514732;0.93092;-0.416188;0.0280234;-0.0280234;-0.514732;0.93092;-0.416188;0.0280234;1;1;-0.000581509;-0.000133338;-0.000125739;0.000684943;-0.000130327;-0.000124583;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0119012;-6.32764e-06;0.372636;5.38536e-05;-5.07551e-05;-0.000141138;0.0250078;0.0503012;0.0160133;0.0250221;-0.0503211;0.0160185;-0.0279937;-0.51206;0.926821;-0.414761;0.0279937;-0.0279937;-0.51206;0.926821;-0.414761;0.0279937;1;1;-0.000601988;-0.000140152;-0.000138273;0.000710684;-0.000137272;-0.000144384;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0119797;-7.15154e-06;0.372527;5.64715e-05;-7.69423e-05;-0.000158744;0.0250057;0.0503171;0.0160142;0.0250214;-0.0503397;0.0160196;-0.027964;-0.509387;0.922721;-0.413334;0.027964;-0.027964;-0.509387;0.922721;-0.413334;0.027964;1;1;-0.000622486;-0.000146536;-0.000152333;0.000736535;-0.000143788;-0.000165703;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0120554;-8.04242e-06;0.372418;5.91264e-05;-0.000103246;-0.000177785;0.0250032;0.0503332;0.0160151;0.0250203;-0.0503589;0.0160208;-0.0279342;-0.506715;0.918622;-0.411907;0.0279342;-0.0279342;-0.506715;0.918622;-0.411907;0.0279342;1;1;-0.000643014;-0.000152447;-0.000167923;0.000762492;-0.000149975;-0.000188347;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0121285;-9.0016e-06;0.37231;6.17646e-05;-0.000131444;-0.000198432;0.0250003;0.0503496;0.0160161;0.0250188;-0.0503786;0.0160222;-0.0279045;-0.504042;0.914522;-0.41048;0.0279045;-0.0279045;-0.504042;0.914522;-0.41048;0.0279045;1;1;-0.000663573;-0.000159793;-0.000185315;0.00078842;-0.000158286;-0.000212443;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0121988;-1.00371e-05;0.372202;6.4528e-05;-0.000162727;-0.000219912;0.0249969;0.0503664;0.0160175;0.025017;-0.0503987;0.0160241;-0.0278748;-0.50137;0.910423;-0.409053;0.0278748;-0.0278748;-0.50137;0.910423;-0.409053;0.0278748;1;1;-0.000683967;-0.000170229;-0.00020354;0.000814487;-0.000169851;-0.000237232;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
2;-0.0122665;-1.11679e-05;0.372095;6.76273e-05;-0.000197042;-0.000239395;0.0249933;0.0503835;0.0160192;0.0250149;-0.0504188;0.0160262;-0.0278451;-0.498698;0.906324;-0.407626;0.0278451;-0.0278451;-0.498698;0.906324;-0.407626;0.0278451;1;1;-0.000703986;-0.000183769;-0.000220002;0.000840994;-0.000184608;-0.000259293;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
