LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
00.0598898;-0.3322675;00.8649741;-0.5327066;-0.0598898;-0.1149008;-0.6143279;00.6724494;-0.0581215;00.1149008
00.0341032;-0.2941950;00.8349081;-0.5407131;-0.0341032;-0.0890278;-0.6012458;00.6918177;-0.0905719;00.0890278
00.0081610;-0.2626710;00.8153650;-0.5526940;-0.0081610;-0.0631205;-0.5947332;00.7206748;-0.1259416;00.0631205
-0.0177316;-0.2318403;00.7954062;-0.5635659;00.0177316;-0.0372453;-0.5876109;00.7470954;-0.1594846;00.0372453
-0.0434500;-0.1993182;00.7712626;-0.5719444;00.0434500;-0.0114873;-0.5779462;00.7686723;-0.1907261;00.0114873
-0.0689498;-0.1641196;00.7414017;-0.5772820;00.0689498;00.0141186;-0.5653156;00.7851284;-0.2198128;-0.0141186
-0.0941704;-0.1257072;00.7048730;-0.5791657;00.0941704;00.0395121;-0.5497182;00.7966155;-0.2468973;-0.0395121
-0.1215099;-0.1336082;00.7696726;-0.6360644;00.1215099;00.0644910;-0.5312759;00.8034009;-0.2721250;-0.0644910
-0.1493283;-0.1484506;00.8387243;-0.6902737;00.1493283;00.0888001;-0.5171830;00.8154360;-0.2982530;-0.0888001
-0.1766825;-0.1720624;00.9074252;-0.7353628;00.1766825;00.1117781;-0.5029249;00.8258290;-0.3229041;-0.1117781
-0.2026197;-0.2105976;00.9782075;-0.7676099;00.2026197;00.1328234;-0.4878067;00.8333009;-0.3454942;-0.1328234
-0.2261878;-0.2711945;01.0531790;-0.7819845;00.2261878;00.1514231;-0.4727453;00.8381534;-0.3654082;-0.1514231
-0.2465086;-0.3561115;01.1285150;-0.7724034;00.2465086;00.1671468;-0.4593862;00.8416085;-0.3822223;-0.1671468
-0.2628963;-0.4583563;01.1937680;-0.7354117;00.2628963;00.1796406;-0.4492976;00.8456334;-0.3963358;-0.1796406
-0.2748231;-0.5679225;01.2381072;-0.6701847;00.2748231;00.1886358;-0.4429613;00.8521944;-0.4092331;-0.1886358
-0.2819078;-0.6738622;01.2531334;-0.5792712;00.2819078;00.1939486;-0.4398624;00.8622183;-0.4223559;-0.1939486
-0.2839195;-0.7655429;01.2342642;-0.4687213;00.2839195;00.1954842;-0.4386318;00.8751961;-0.4365643;-0.1954842
-0.2807857;-0.8343059;01.1814121;-0.3471063;00.2807857;00.1932389;-0.4372995;00.8893403;-0.4520408;-0.1932389
