LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.1052404;-0.4458264;00.8299254;-0.3840990;00.1052404;00.0506203;-0.4555091;00.8490271;-0.3935180;-0.0506203
-0.1150211;-0.4432046;00.8250427;-0.3818381;00.1150211;00.0604898;-0.4541483;00.8466350;-0.3924867;-0.0604898
-0.1260108;-0.4399505;00.8189912;-0.3790408;00.1260108;00.0715918;-0.4523298;00.8434206;-0.3910908;-0.0715918
-0.1383485;-0.4358965;00.8114651;-0.3755686;00.1383485;00.0840714;-0.4499154;00.8391362;-0.3892208;-0.0840714
-0.1521853;-0.4308274;00.8020715;-0.3712441;00.1521853;00.0980870;-0.4467257;00.8334612;-0.3867356;-0.0980870
-0.1676853;-0.4244644;00.7903003;-0.3658359;00.1676853;00.1138118;-0.4425283;00.8259791;-0.3834508;-0.1138118
-0.1850260;-0.4164428;00.7754817;-0.3590388;00.1850260;00.1314348;-0.4370207;00.8161447;-0.3791239;-0.1314348
-0.2043966;-0.4062805;00.7567245;-0.3504441;00.2043966;00.1511587;-0.4298061;00.8032392;-0.3734332;-0.1511587
-0.2259730;-0.3933405;00.7328466;-0.3395061;00.2259730;00.1731751;-0.4203680;00.7863236;-0.3659557;-0.1731751
-0.2523052;-0.4071053;00.7566299;-0.3495246;00.2523052;00.1973794;-0.4081671;00.7644334;-0.3562662;-0.1973794
-0.2774993;-0.4247737;00.7759982;-0.3512244;00.2774993;00.2203711;-0.3998591;00.7479078;-0.3480487;-0.2203711
-0.3001324;-0.4437667;00.7885495;-0.3447828;00.3001324;00.2408569;-0.3932061;00.7326132;-0.3394071;-0.2408569
-0.3200293;-0.4629027;00.7951662;-0.3322635;00.3200293;00.2587179;-0.3875301;00.7179115;-0.3303814;-0.2587179
-0.3374007;-0.4813820;00.7973762;-0.3159942;00.3374007;00.2741686;-0.3826114;00.7039191;-0.3213077;-0.2741686
-0.3525698;-0.4986661;00.7970984;-0.2984323;00.3525698;00.2874911;-0.3783387;00.6908654;-0.3125266;-0.2874911
-0.3658797;-0.5147825;00.7963036;-0.2815211;00.3658797;00.2989605;-0.3746284;00.6789797;-0.3043513;-0.2989605
-0.3776707;-0.5305708;00.7966526;-0.2660818;00.3776707;00.3088243;-0.3714757;00.6684918;-0.2970161;-0.3088243
-0.3882718;-0.5470425;00.7996587;-0.2526163;00.3882718;00.3173000;-0.3690360;00.6596765;-0.2906405;-0.3173000
-0.3979969;-0.5651932;00.8066719;-0.2414787;00.3979969;00.3245770;-0.3675275;00.6528384;-0.2853110;-0.3245770
-0.4071525;-0.5859770;00.8189027;-0.2329257;00.4071525;00.3308195;-0.3671823;00.6482894;-0.2811071;-0.3308195
-0.4160203;-0.6101524;00.8371611;-0.2270087;00.4160203;00.3361699;-0.3682352;00.6463477;-0.2781125;-0.3361699
-0.4246809;-0.6373156;00.8602720;-0.2229564;00.4246809;00.3407489;-0.3708890;00.6472877;-0.2763987;-0.3407489
-0.4329860;-0.6659829;00.8853749;-0.2193921;00.4329860;00.3446391;-0.3750852;00.6509777;-0.2758925;-0.3446391
-0.4407059;-0.6945627;00.9096482;-0.2150854;00.4407059;00.3478822;-0.3804581;00.6568147;-0.2763565;-0.3478822
-0.4475560;-0.7215258;00.9305517;-0.2090259;00.4475560;00.3504988;-0.3865382;00.6640468;-0.2775086;-0.3504988
-0.4532132;-0.7454357;00.9458334;-0.2003976;00.4532132;00.3524949;-0.3928338;00.6718914;-0.2790576;-0.3524949
-0.4573445;-0.7649556;00.9535713;-0.1886157;00.4573445;00.3538661;-0.3988649;00.6795843;-0.2807194;-0.3538661
-0.4598012;-0.7794441;00.9535341;-0.1740901;00.4598012;00.3546010;-0.4041819;00.6864187;-0.2822368;-0.3546010
-0.4605393;-0.7886073;00.9462312;-0.1576239;00.4605393;00.3546996;-0.4085137;00.6920385;-0.2835248;-0.3546996
-0.4595479;-0.7922299;00.9322369;-0.1400070;00.4595479;00.3541659;-0.4117118;00.6963139;-0.2846022;-0.3541659
-0.4568297;-0.7900926;00.9120377;-0.1219451;00.4568297;00.3529994;-0.4136757;00.6991977;-0.2855220;-0.3529994
-0.4524050;-0.7819735;00.8860393;-0.1040658;00.4524050;00.3511919;-0.4143194;00.7006708;-0.2863514;-0.3511919
-0.4463755;-0.7679749;00.8547950;-0.0868200;00.4463755;00.3487268;-0.4135661;00.7007383;-0.2871722;-0.3487268
-0.4390420;-0.7492248;00.8196562;-0.0704314;00.4390420;00.3455852;-0.4114314;00.6995382;-0.2881068;-0.3455852
-0.4307310;-0.7272026;00.7822985;-0.0550959;00.4307310;00.3417582;-0.4082101;00.6975865;-0.2893764;-0.3417582
-0.4217479;-0.7036284;00.7448002;-0.0411718;00.4217479;00.3372337;-0.4043272;00.6955658;-0.2912385;-0.3372337
-0.4123577;-0.6804737;00.7097465;-0.0292728;00.4123577;00.3319907;-0.4002672;00.6942336;-0.2939664;-0.3319907
-0.4027761;-0.6599749;00.6802912;-0.0203164;00.4027761;00.3259966;-0.3965447;00.6943799;-0.2978352;-0.3259966
-0.3930131;-0.6435030;00.6583992;-0.0148962;00.3930131;00.3192037;-0.3936853;00.6967938;-0.3031086;-0.3192037
-0.3828570;-0.6309811;00.6438751;-0.0128940;00.3828570;00.3115314;-0.3919870;00.7019063;-0.3099193;-0.3115314
-0.3720442;-0.6217766;00.6356751;-0.0138985;00.3720442;00.3028589;-0.3913894;00.7096247;-0.3182353;-0.3028589
-0.3603009;-0.6150207;00.6324017;-0.0173810;00.3603009;00.2930395;-0.3916549;00.7196262;-0.3279713;-0.2930395
-0.3473441;-0.6096799;00.6323946;-0.0227147;00.3473441;00.2819050;-0.3924648;00.7314971;-0.3390323;-0.2819050
-0.3328853;-0.6046246;00.6338446;-0.0292200;00.3328853;00.2692651;-0.3934451;00.7447626;-0.3513175;-0.2692651
-0.3166349;-0.5986720;00.6348648;-0.0361928;00.3166349;00.2549052;-0.3941761;00.7588948;-0.3647187;-0.2549052
-0.2983007;-0.5905332;00.6333867;-0.0428535;00.2983007;00.2385848;-0.3941921;00.7733075;-0.3791154;-0.2385848
-0.2776007;-0.5788252;00.6271745;-0.0483492;00.2776007;00.2200343;-0.3929629;00.7873220;-0.3943591;-0.2200343
-0.2542651;-0.5619219;00.6135302;-0.0516083;00.2542651;00.1989547;-0.3898816;00.8001447;-0.4102632;-0.1989547
-0.2280543;-0.5378479;00.5890717;-0.0512238;00.2280543;00.1750161;-0.3842264;00.8108009;-0.4265744;-0.1750161
-0.2013121;-0.5459186;00.6274258;-0.0815072;00.2013121;00.1478608;-0.3751256;00.8180716;-0.4429460;-0.1478608
-0.1712484;-0.5566062;00.6715074;-0.1149012;00.1712484;00.1173201;-0.3679527;00.8302961;-0.4623434;-0.1173201
-0.1373995;-0.5650425;00.7135286;-0.1484862;00.1373995;00.0830219;-0.3585422;00.8403691;-0.4818270;-0.0830219
-0.0999770;-0.5690710;00.7501680;-0.1810970;00.0999770;00.0452426;-0.3448242;00.8446701;-0.4998459;-0.0452426
-0.0597333;-0.5675473;00.7792227;-0.2116754;00.0597333;00.0047884;-0.3257715;00.8408147;-0.5150432;-0.0047884
-0.0178225;-0.5600067;00.7992133;-0.2392066;00.0178225;-0.0371493;-0.3010453;00.8272541;-0.5262088;00.0371493
00.0243649;-0.5466225;00.8094943;-0.2628718;-0.0243649;-0.0791674;-0.2708829;00.8033171;-0.5324342;00.0791674
00.0653863;-0.5281616;00.8103423;-0.2821807;-0.0653863;-0.1198390;-0.2360154;00.7692654;-0.5332500;00.1198390
00.1039339;-0.5058610;00.8029069;-0.2970459;-0.1039339;-0.1578967;-0.1975456;00.7262316;-0.5286861;00.1578967
00.1390058;-0.4812173;00.7889995;-0.3077822;-0.1390058;-0.1923925;-0.1567644;00.6759926;-0.5192282;00.1923925
00.1700492;-0.4557010;00.7707217;-0.3150206;-0.1700492;-0.2228272;-0.1148855;00.6205365;-0.5056510;00.2228272
00.1970573;-0.4304316;00.7499760;-0.3195444;-0.1970573;-0.2519553;-0.1132203;00.6352171;-0.5219968;00.2519553
00.2207573;-0.4111118;00.7335480;-0.3224362;-0.2207573;-0.2778798;-0.1316090;00.6631953;-0.5315863;00.2778798
00.2413446;-0.3957929;00.7174302;-0.3216374;-0.2413446;-0.3006307;-0.1637903;00.6962795;-0.5324892;00.3006307
00.2591445;-0.3837162;00.7015775;-0.3178613;-0.2591445;-0.3204736;-0.2039986;00.7292462;-0.5252476;00.3204736
00.2744946;-0.3743790;00.6866197;-0.3122406;-0.2744946;-0.3377549;-0.2471961;00.7587908;-0.5115947;00.3377549
00.2877091;-0.3672811;00.6731093;-0.3058282;-0.2877091;-0.3528358;-0.2891974;00.7834137;-0.4942163;00.3528358
00.2990697;-0.3618681;00.6613571;-0.2994890;-0.2990697;-0.3660779;-0.3282809;00.8039003;-0.4756194;00.3660779
00.3088258;-0.3577741;00.6515208;-0.2937467;-0.3088258;-0.3778315;-0.3652396;00.8222736;-0.4570339;00.3778315
00.3171951;-0.3549739;00.6437612;-0.2887873;-0.3171951;-0.3884344;-0.4013235;00.8405064;-0.4391830;00.3884344
00.3243673;-0.3535889;00.6382969;-0.2847080;-0.3243673;-0.3982150;-0.4378277;00.8603315;-0.4225039;00.3982150
00.3305067;-0.3538028;00.6353971;-0.2815942;-0.3305067;-0.4074882;-0.4759498;00.8831213;-0.4071716;00.4074882
00.3357551;-0.3558196;00.6353512;-0.2795316;-0.3357551;-0.4165244;-0.5165501;00.9095573;-0.3930072;00.4165244
00.3402297;-0.3597988;00.6383836;-0.2785848;-0.3402297;-0.4253100;-0.5588906;00.9377083;-0.3788178;00.4253100
00.3439990;-0.3655411;00.6441797;-0.2786386;-0.3439990;-0.4336518;-0.6014909;00.9646827;-0.3631918;00.4336518
00.3470951;-0.3725938;00.6520503;-0.2794565;-0.3470951;-0.4412790;-0.6427821;00.9877309;-0.3449488;00.4412790
00.3495305;-0.3804185;00.6611784;-0.2807599;-0.3495305;-0.4478672;-0.6812103;01.0043669;-0.3231567;00.4478672
00.3513044;-0.3884587;00.6707141;-0.2822554;-0.3513044;-0.4530493;-0.7152053;01.0122730;-0.2970676;00.4530493
00.3524063;-0.3961601;00.6798063;-0.2836461;-0.3524063;-0.4565333;-0.7433787;01.0101086;-0.2667299;00.4565333
00.3528278;-0.4030369;00.6877699;-0.2847330;-0.3528278;-0.4582298;-0.7648622;00.9984177;-0.2335556;00.4582298
00.3525752;-0.4087565;00.6942780;-0.2855215;-0.3525752;-0.4581053;-0.7790403;00.9782514;-0.1992111;00.4581053
00.3516535;-0.4130679;00.6991580;-0.2860901;-0.3516535;-0.4561550;-0.7855218;00.9509093;-0.1653875;00.4561550
00.3500609;-0.4157760;00.7023305;-0.2865545;-0.3500609;-0.4523961;-0.7841132;00.9178581;-0.1337449;00.4523961
00.3477862;-0.4167313;00.7037914;-0.2870601;-0.3477862;-0.4468754;-0.7748393;00.8806057;-0.1057665;00.4468754
00.3448091;-0.4158398;00.7036151;-0.2877753;-0.3448091;-0.4398373;-0.7588678;00.8407470;-0.0818792;00.4398373
00.3411160;-0.4133253;00.7022370;-0.2889117;-0.3411160;-0.4316380;-0.7380991;00.7998927;-0.0617936;00.4316380
00.3366963;-0.4096756;00.7003834;-0.2907078;-0.3366963;-0.4226188;-0.7145976;00.7597880;-0.0451905;00.4226188
00.3315321;-0.4054657;00.6988753;-0.2934096;-0.3315321;-0.4130835;-0.6906015;00.7225310;-0.0319295;00.4130835
00.3255942;-0.4013052;00.6985684;-0.2972632;-0.3255942;-0.4032854;-0.6685601;00.6907029;-0.0221428;00.4032854
00.3188394;-0.3978154;00.7003182;-0.3025028;-0.3188394;-0.3933335;-0.6505038;00.6665970;-0.0160931;00.3933335
00.3111982;-0.3954755;00.7047651;-0.3092896;-0.3111982;-0.3830414;-0.6366361;00.6502654;-0.0136294;00.3830414
00.3025551;-0.3943151;00.7119223;-0.3176072;-0.3025551;-0.3721434;-0.6264070;00.6407635;-0.0143565;00.3721434
00.2927648;-0.3941226;00.7214951;-0.3273725;-0.2927648;-0.3603514;-0.6189071;00.6366112;-0.0177042;00.3603514
00.2816587;-0.3945699;00.7330520;-0.3384821;-0.2816587;-0.3473708;-0.6130502;00.6360616;-0.0230114;00.3473708
00.2690458;-0.3952668;00.7460941;-0.3508274;-0.2690458;-0.3329026;-0.6076407;00.6371976;-0.0295569;00.3329026
00.2547110;-0.3957744;00.7600673;-0.3642928;-0.2547110;-0.3166443;-0.6013912;00.6379552;-0.0365640;00.3166443
00.2384126;-0.3956026;00.7743505;-0.3787479;-0.2384126;-0.2982990;-0.5929627;00.6361897;-0.0432269;00.2982990
00.2198811;-0.3942056;00.7882457;-0.3940400;-0.2198811;-0.2775743;-0.5808472;00.6294458;-0.0485986;00.2775743
00.1988167;-0.3909515;00.8009238;-0.4099723;-0.1988167;-0.2542003;-0.5633508;00.6149114;-0.0515606;00.2542003
00.1748897;-0.3851029;00.8113906;-0.4262877;-0.1748897;-0.2279355;-0.5383459;00.5889230;-0.0505772;00.2279355
00.1477434;-0.3757632;00.8183946;-0.4426313;-0.1477434;-0.2011988;-0.5462273;00.6271187;-0.0808914;00.2011988
00.1172152;-0.3684666;00.8305235;-0.4620569;-0.1172152;-0.1711462;-0.5568493;00.6712176;-0.1143682;00.1711462
00.0829293;-0.3589799;00.8405569;-0.4815770;-0.0829293;-0.1373088;-0.5652561;00.7132862;-0.1480302;00.1373088
00.0451612;-0.3452065;00.8448375;-0.4996310;-0.0451612;-0.0998968;-0.5692653;00.7499713;-0.1807060;00.0998968
00.0047171;-0.3261089;00.8409691;-0.5148602;-0.0047171;-0.0596627;-0.5677252;00.7790641;-0.2113389;00.0596627
-0.0372116;-0.3013445;00.8273989;-0.5260544;00.0372116;-0.0177606;-0.5601688;00.7990853;-0.2389164;00.0177606
-0.0792215;-0.2711489;00.8034542;-0.5323053;00.0792215;00.0244190;-0.5467693;00.8093905;-0.2626212;-0.0244190
-0.1198860;-0.2362525;00.7693962;-0.5331438;00.1198860;00.0654334;-0.5282935;00.8102575;-0.2819640;-0.0654334
-0.1579373;-0.1977575;00.7263573;-0.5285998;00.1579373;00.1039747;-0.5059787;00.8028370;-0.2968584;-0.1039747
-0.1924274;-0.1569545;00.6761140;-0.5191595;00.1924274;00.1390412;-0.4813217;00.7889413;-0.3076196;-0.1390412
-0.2228574;-0.1150570;00.6206547;-0.5055977;00.2228574;00.1700798;-0.4557932;00.7706727;-0.3148795;-0.1700798
-0.2519815;-0.1133697;00.6353177;-0.5219480;00.2519815;00.1970837;-0.4305126;00.7499342;-0.3194216;-0.1970837
-0.2779026;-0.1317348;00.6632732;-0.5315384;00.2779026;00.2207802;-0.4111830;00.7335126;-0.3223296;-0.2207802
-0.3006506;-0.1638951;00.6963359;-0.5324408;00.3006506;00.2413644;-0.3958550;00.7173999;-0.3215449;-0.2413644
-0.3204908;-0.2040846;00.7292837;-0.5251991;00.3204908;00.2591616;-0.3837701;00.7015510;-0.3177809;-0.2591616
-0.3377699;-0.2472664;00.7588132;-0.5115469;00.3377699;00.2745094;-0.3744255;00.6865963;-0.3121708;-0.2745094
-0.3528489;-0.2892545;00.7834247;-0.4941702;00.3528489;00.2877220;-0.3673210;00.6730883;-0.3057673;-0.2877220
-0.3660893;-0.3283274;00.8039032;-0.4755758;00.3660893;00.2990809;-0.3619023;00.6613382;-0.2994359;-0.2990809
-0.3778414;-0.3652775;00.8222707;-0.4569933;00.3778414;00.3088355;-0.3578034;00.6515037;-0.2937003;-0.3088355
-0.3884430;-0.4013542;00.8404996;-0.4391453;00.3884430;00.3172036;-0.3549989;00.6437457;-0.2887468;-0.3172036
-0.3982225;-0.4378527;00.8603220;-0.4224693;00.3982225;00.3243746;-0.3536103;00.6382829;-0.2846726;-0.3243746
-0.4074947;-0.4759701;00.8831101;-0.4071400;00.4074947;00.3305131;-0.3538212;00.6353844;-0.2815632;-0.3305131
-0.4165302;-0.5165656;00.9095453;-0.3929797;00.4165302;00.3357607;-0.3558353;00.6353397;-0.2795044;-0.3357607
